YrSold,HeatingQC,Street,YearRemodAdd,Heating,MasVnrType,BsmtUnfSF,Foundation,MasVnrArea,MSSubClass,ExterQual,Condition2,GarageCars,GarageType,OverallQual,TotalBsmtSF,BsmtFinSF1,HouseStyle,MiscFeature,MoSold
2007.0,TA,Pave,1975.0,GasA,,816.0,PConc,,20.0,Gd,Norm,2.0,Attchd,6.0,2035.0,1219.0,1Story,,3.0
2006.0,TA,Pave,1950.0,GasA,None,238.0,CBlock,0.0,50.0,TA,Norm,1.0,Attchd,6.0,806.0,403.0,1.5Fin,,8.0
2009.0,TA,Pave,1950.0,GasA,BrkCmn,524.0,CBlock,161.0,50.0,TA,Norm,1.0,Detchd,5.0,709.0,185.0,1.5Fin,,7.0
2008.0,Ex,Pave,1977.0,GasA,BrkFace,768.0,CBlock,299.0,60.0,TA,Norm,2.0,Attchd,7.0,1160.0,392.0,2Story,,3.0
2010.0,TA,Pave,1971.0,GasA,BrkFace,525.0,CBlock,381.0,160.0,TA,Norm,1.0,Detchd,6.0,525.0,0.0,2Story,,3.0
2009.0,TA,Pave,2006.0,GasW,None,310.0,BrkTil,0.0,30.0,TA,Norm,1.0,Detchd,5.0,1022.0,247.0,1Story,,6.0
2007.0,Ex,Pave,2007.0,GasA,Stone,556.0,PConc,84.0,20.0,Gd,Norm,3.0,Attchd,8.0,1485.0,929.0,1Story,,8.0
2007.0,TA,Pave,1950.0,GasA,None,780.0,PConc,0.0,50.0,TA,Norm,1.0,Detchd,6.0,780.0,0.0,1.5Fin,,12.0
2007.0,Ex,Pave,1996.0,GasA,None,300.0,PConc,0.0,60.0,Gd,Norm,3.0,Attchd,10.0,2396.0,2096.0,2Story,,7.0
2007.0,Ex,Pave,2004.0,GasA,None,312.0,PConc,0.0,160.0,Gd,Norm,2.0,Detchd,7.0,551.0,239.0,2Story,,3.0
2007.0,Ex,Pave,2007.0,GasA,None,1352.0,PConc,0.0,120.0,Gd,Norm,2.0,Attchd,7.0,1352.0,0.0,1Story,,4.0
2007.0,Fa,Pave,1976.0,GasA,BrkFace,1680.0,CBlock,164.0,90.0,TA,RRAn,2.0,Detchd,5.0,1680.0,0.0,1Story,,6.0
2009.0,Ex,Pave,1999.0,GasA,None,284.0,PConc,344.0,60.0,Gd,Norm,2.0,Attchd,7.0,978.0,694.0,2Story,,5.0
2006.0,TA,Pave,1967.0,GasA,None,95.0,CBlock,0.0,85.0,TA,Norm,1.0,Attchd,5.0,864.0,769.0,SFoyer,,12.0
2007.0,TA,Pave,1950.0,GasA,BrkFace,746.0,CBlock,206.0,20.0,TA,Norm,1.0,Detchd,6.0,1082.0,336.0,1Story,,11.0
2010.0,TA,Pave,1957.0,GasA,None,392.0,CBlock,0.0,20.0,TA,Norm,1.0,Attchd,5.0,1314.0,922.0,1Story,,6.0
2010.0,Ex,Pave,1992.0,GasA,None,76.0,PConc,0.0,60.0,Gd,Norm,2.0,Attchd,7.0,750.0,674.0,2Story,,6.0
2007.0,Ex,Pave,1995.0,GasA,None,402.0,PConc,0.0,20.0,TA,Norm,0.0,,4.0,990.0,588.0,1Story,,8.0
2008.0,Gd,Pave,2006.0,GasA,None,1228.0,CBlock,0.0,20.0,TA,Norm,1.0,Attchd,5.0,1228.0,0.0,1Story,,6.0
2009.0,Ex,Pave,2005.0,GasA,None,611.0,PConc,0.0,70.0,Gd,Norm,1.0,Attchd,7.0,910.0,299.0,2Story,,6.0
2010.0,Fa,Pave,1952.0,GasA,None,403.0,CBlock,0.0,50.0,TA,Norm,2.0,Detchd,5.0,910.0,507.0,1.5Fin,,6.0
2008.0,Ex,Pave,2004.0,GasA,BrkFace,186.0,PConc,169.0,120.0,Gd,Norm,2.0,Attchd,6.0,848.0,662.0,1Story,,6.0
2010.0,TA,Grvl,1963.0,GasA,None,0.0,CBlock,0.0,90.0,Fa,Norm,2.0,CarPort,5.0,816.0,104.0,1Story,,5.0
2009.0,Gd,Pave,1995.0,GasA,None,702.0,PConc,0.0,60.0,TA,Norm,2.0,Attchd,6.0,702.0,0.0,2Story,,3.0
2008.0,TA,Pave,1974.0,GasA,BrkFace,459.0,CBlock,270.0,60.0,Gd,Norm,2.0,Attchd,6.0,901.0,442.0,2Story,,7.0
2009.0,Gd,Pave,1986.0,GasA,None,700.0,BrkTil,0.0,70.0,Gd,Norm,2.0,Attchd,8.0,916.0,216.0,2Story,,11.0
2010.0,Ex,Pave,2000.0,GasA,BrkFace,378.0,PConc,216.0,160.0,Gd,Norm,2.0,Detchd,6.0,756.0,378.0,2Story,,6.0
